,Title,TMDb,IMDb,Rotten Tomatoes,Metascore,Awards,Revenue,Budget,Release Year,Release Month
84,Star Wars: The Rise of Skywalker,6.5,6.6,51.0,53.0,Nominated for 3 Oscars. Another 9 wins & 52 nominations.,1074144248,250000000,2019,12
85,Toy Story 4,7.6,7.8,97.0,84.0,Won 1 Oscar. Another 55 wins & 62 nominations.,1073394593,175000000,2019,6
86,Aladdin,7.1,6.9,57.0,53.0,8 wins & 38 nominations.,1047612394,183000000,2019,5
87,Jumanji: The Next Level,7.0,6.6,71.0,58.0,1 win & 10 nominations.,796575993,125000000,2019,12
88,Ne Zha,8.0,7.5,88.0,54.0,20 wins & 23 nominations.,686067000,0,2019,7
89,How to Train Your Dragon: The Hidden World,7.8,7.5,90.0,71.0,Nominated for 1 Oscar. Another 5 wins & 63 nominations.,517526875,129000000,2019,1
90,Maleficent: Mistress of Evil,7.4,6.6,39.0,43.0,Nominated for 1 Oscar. Another 1 win & 10 nominations.,491570967,185000000,2019,10
91,It Chapter Two,6.9,6.5,62.0,58.0,5 wins & 30 nominations.,473093228,79000000,2019,9
92,Pokémon Detective Pikachu,7.0,6.6,67.0,53.0,9 nominations.,433005346,150000000,2019,5
93,Alita: Battle Angel,7.2,7.3,61.0,53.0,10 wins & 24 nominations.,404852543,170000000,2019,1
94,Godzilla: King of the Monsters,6.7,6.0,42.0,48.0,6 wins & 14 nominations.,386600138,170000000,2019,5
95,1917,7.9,8.3,89.0,78.0,Won 3 Oscars. Another 128 wins & 200 nominations.,374733942,100000000,2019,12
