,Title,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Revenue,Box Office,Budget,TMDb Score,IMDb,Rotten Tomatoes,Metascore,Awards,Release Year,Release Month
55,Kong: Skull Island,Action,Adventure,Fantasy,,,,566652812,168052812,185000000,6.5,6.6,75.0,62.0,Nominated for 1 Oscar. Another 1 win & 20 nominations.,2017,3
56,Dunkirk,War,Action,Drama,,,,525573161,189740665,100000000,7.5,7.8,92.0,94.0,Won 3 Oscars. Another 60 wins & 229 nominations.,2017,7
57,The Boss Baby,Animation,Comedy,Family,,,,498814908,175003033,125000000,6.5,6.3,53.0,50.0,Nominated for 1 Oscar. Another 4 wins & 20 nominations.,2017,3
58,War for the Planet of the Apes,Drama,Science Fiction,War,,,,488533726,146880162,150000000,7.1,7.4,94.0,82.0,Nominated for 1 Oscar. Another 27 wins & 64 nominations.,2017,7
59,Avengers: Infinity War,Adventure,Action,Science Fiction,,,,2046239637,678815482,300000000,8.3,8.4,85.0,68.0,Nominated for 1 Oscar. Another 46 wins & 76 nominations.,2018,4
60,Black Panther,Action,Adventure,Science Fiction,,,,1346739107,700426566,200000000,7.4,7.3,96.0,88.0,Won 3 Oscars. Another 109 wins & 274 nominations.,2018,2
61,Jurassic World: Fallen Kingdom,Action,Adventure,Science Fiction,,,,1303459585,417719760,170000000,6.6,6.2,47.0,51.0,4 wins & 26 nominations.,2018,6
62,Incredibles 2,Action,Adventure,Animation,Family,,,1242805359,608581744,200000000,7.5,7.6,93.0,80.0,Nominated for 1 Oscar. Another 12 wins & 76 nominations.,2018,6
63,Aquaman,Action,Adventure,Fantasy,,,,1148461807,335061807,160000000,6.9,6.9,65.0,55.0,2 wins & 39 nominations.,2018,12
64,Bohemian Rhapsody,Music,Drama,History,,,,894027543,216668042,52000000,8.0,8.0,60.0,49.0,Won 4 Oscars. Another 42 wins & 77 nominations.,2018,10
65,Venom,Science Fiction,Action,,,,,855013954,213515506,116000000,6.8,6.7,29.0,35.0,3 wins & 9 nominations.,2018,9
66,Mission: Impossible - Fallout,Action,Adventure,,,,,791017452,220159104,178000000,7.4,7.7,97.0,86.0,Nominated for 1 BAFTA Film Award. Another 23 wins & 36 nominations.,2018,7
67,Deadpool 2,Action,Comedy,Adventure,,,,786365638,324591735,110000000,7.5,7.7,84.0,66.0,6 wins & 52 nominations.,2018,5
68,Fantastic Beasts: The Crimes of Grindelwald,Adventure,Fantasy,Drama,,,,653355901,159555901,200000000,6.9,6.6,36.0,52.0,Nominated for 2 BAFTA Film Awards. Another 3 wins & 20 nominations.,2018,11
69,Ant-Man and the Wasp,Action,Adventure,Science Fiction,,,,622674139,216648740,140000000,7.0,7.0,87.0,70.0,1 win & 20 nominations.,2018,7
70,Ready Player One,Science Fiction,Adventure,Action,,,,582890172,137690172,175000000,7.6,7.4,72.0,64.0,Nominated for 1 Oscar. Another 11 wins & 55 nominations.,2018,3
71,Operation Red Sea,Action,Thriller,War,Drama,,,579220560,1543547,70000000,6.7,6.7,80.0,,31 wins & 41 nominations.,2018,2
72,The Meg,Action,Science Fiction,Horror,,,,530243742,145443742,150000000,6.2,5.6,45.0,46.0,4 wins & 6 nominations.,2018,8
73,Ralph Breaks the Internet,Family,Animation,Comedy,Adventure,,,529221154,201091711,175000000,7.2,7.0,88.0,71.0,Nominated for 1 Oscar. Another 3 wins & 66 nominations.,2018,11
74,The Grinch,Animation,Family,Comedy,Fantasy,,,508575295,271094731,75000000,6.8,6.3,59.0,51.0,1 win & 18 nominations.,2018,11
75,Bumblebee,Action,Adventure,Science Fiction,,,,467989645,127195589,135000000,6.7,6.8,91.0,66.0,2 wins & 13 nominations.,2018,12
76,A Star Is Born,Drama,Romance,Music,,,,433888866,215288866,36000000,7.5,7.6,90.0,88.0,Won 1 Oscar. Another 93 wins & 278 nominations.,2018,10
77,Rampage,Action,,,,,,426245950,101028233,120000000,6.5,6.1,51.0,45.0,7 nominations.,2018,4
78,Avengers: Endgame,Adventure,Science Fiction,Action,,,,2797800564,858373000,356000000,8.3,8.4,94.0,78.0,Nominated for 1 Oscar. Another 69 wins & 109 nominations.,2019,4
79,The Lion King,Adventure,Family,Animation,,,,1656943394,543638043,260000000,7.2,6.9,52.0,55.0,Nominated for 1 Oscar. Another 19 wins & 43 nominations.,2019,7
80,Frozen II,Family,Animation,Adventure,Comedy,Fantasy,Music,1450026933,477373578,150000000,7.3,6.9,78.0,64.0,Nominated for 1 Oscar. Another 18 wins & 88 nominations.,2019,11
