,Title,ID,Release Date,TMDb Score,TMDb Vote Count,Revenue,Budget,Genres,Genres ID,Production Companies,Release Year,Release Month,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5
20,Captain America: Civil War,271110,4/27/16,7.4,17894,2068223624,245000000,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']","[28, 12, 878, 14]","['Lucasfilm Ltd.', 'Bad Robot']",2016,4,Action,Adventure,Science Fiction,Fantasy,
21,Rogue One: A Star Wars Story,330459,12/14/16,7.5,12019,1671713208,150000000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","[28, 12, 878, 53]","['Amblin Entertainment', 'Legendary Pictures', 'Universal Pictures', 'DENTSU', 'The Kennedy/Marshall Company']",2016,12,Action,Adventure,Science Fiction,Thriller,
22,Finding Dory,127380,6/16/16,7,9836,1515047671,190000000,"['Action', 'Thriller']","[28, 53]","['Abu Dhabi Film Commission', 'Universal Pictures', 'China Film Co.', 'Original Film', 'Fuji Television Network', 'Québec Production Services Tax Credit', 'Colorado Office of Film, Television & Media', 'DENTSU', 'MRC', 'One Race']",2016,6,Action,Thriller,,,
23,Zootopia,269149,2/11/16,7.7,12875,1405403694,250000000,"['Action', 'Adventure', 'Science Fiction']","[28, 12, 878]",['Marvel Studios'],2016,2,Action,Adventure,Science Fiction,,
24,The Jungle Book,278927,4/7/16,6.9,6609,1156730962,74000000,"['Family', 'Animation', 'Adventure', 'Comedy']","[10751, 16, 12, 35]","['Illumination Entertainment', 'Universal Pictures']",2016,4,Family,Animation,Adventure,Comedy,
25,The Secret Life of Pets,328111,6/18/16,6.2,6702,880674609,245000000,"['Action', 'Adventure', 'Thriller']","[28, 12, 53]","['Danjaq', 'B24', 'Columbia Pictures', 'Metro-Goldwyn-Mayer', 'Eon Productions', 'Sony Pictures']",2016,6,Action,Adventure,Thriller,,
26,Batman v Superman: Dawn of Justice,209112,3/23/16,5.9,14664,857611174,175000000,"['Animation', 'Family', 'Adventure', 'Drama', 'Comedy']","[16, 10751, 12, 18, 35]","['Pixar', 'Walt Disney Pictures']",2016,3,Animation,Family,Adventure,Drama,Comedy
27,Fantastic Beasts and Where to Find Them,259316,11/16/16,7.4,15272,682330139,150000000,"['Action', 'Adventure']","[28, 12]","['Paramount', 'China Movie Channel', 'Bad Robot', 'TC Productions', 'Alibaba Pictures Group', 'Odin', 'Skydance Media']",2016,11,Action,Adventure,,,
28,Deadpool,293660,2/9/16,7.6,24767,653428261,160000000,"['Action', 'Adventure', 'Science Fiction']","[28, 12, 878]","['Lionsgate', 'Color Force', 'Studio Babelsberg']",2016,2,Action,Adventure,Science Fiction,,
29,Suicide Squad,297761,8/3/16,5.9,17269,630161890,108000000,"['Drama', 'Adventure', 'Science Fiction']","[18, 12, 878]","['Scott Free Productions', 'Mid Atlantic Films', 'International Traders', 'TSG Entertainment', 'Genre Films', '20th Century Fox']",2016,8,Drama,Adventure,Science Fiction,,
